Year,MPG,FG%,3P%,FT%,OFF,DEF,RPG,AST,SPG,BPG,TO,PF,PPG
 1980,36.0,.474,.406,.836,2.60,7.80,10.40,4.5,1.74,.65,3.21,3.40,21.3
 1981,39.5,.478,.270,.863,2.30,8.60,10.90,5.5,1.96,.77,3.52,2.90,21.2
 1982,38.0,.503,.212,.863,2.60,8.30,10.90,5.8,1.86,.86,3.30,3.20,22.9
 1983,37.7,.504,.286,.840,2.40,8.60,11.00,5.8,1.87,.90,3.04,2.50,23.6
 1984,38.3,.492,.247,.888,2.30,7.80,10.10,6.6,1.82,.87,3.00,2.50,24.2
 1985,39.5,.522,.427,.882,2.10,8.50,10.50,6.6,1.61,1.23,3.10,2.60,28.7
 1986,38.0,.496,.423,.896,2.30,7.50,9.80,6.8,2.02,.62,3.24,2.20,25.8
 1987,40.6,.525,.400,.910,1.70,7.50,9.20,7.6,1.82,.95,3.24,2.50,28.1
 1988,39.0,.527,.414,.916,1.40,7.80,9.30,6.1,1.64,.75,2.80,2.10,29.9
 1989,31.5,.471,.000,.947,.20,6.00,6.20,4.8,1.00,.83,1.83,3.00,19.3
 1990,39.3,.473,.333,.930,1.20,8.30,9.50,7.5,1.41,.81,3.24,2.30,24.3
 1991,38.0,.454,.389,.891,.90,7.60,8.50,7.2,1.80,.97,3.12,2.00,19.4
 1992,36.9,.466,.406,.926,1.00,8.60,9.60,6.8,.93,.73,2.78,1.80,20.2
 
