Year,MPG,FG%,3P%,FT%,OFF,DEF,RPG,AST,SPG,BPG,TO,PF,PPG
 1985,38.3,.515,.173,.845,2.00,4.50,6.50,5.9,2.39,.84,3.55,3.50,28.2
 1986,25.1,.457,.167,.840,1.30,2.30,3.60,2.9,2.06,1.17,2.50,2.60,22.7
 1987,40.0,.482,.182,.857,2.00,3.20,5.20,4.6,2.88,1.52,3.32,2.90,37.1
 1988,40.4,.535,.132,.841,1.70,3.80,5.50,5.9,3.16,1.60,3.07,3.30,35.0
 1989,40.2,.538,.276,.850,1.80,6.20,8.00,8.0,2.89,.80,3.58,3.00,32.5
 1990,39.0,.526,.376,.848,1.70,5.10,6.90,6.3,2.77,.66,3.01,2.90,33.6
 1991,37.0,.539,.312,.851,1.40,4.60,6.00,5.5,2.72,1.01,2.46,2.80,31.5
 1992,38.8,.519,.270,.832,1.10,5.30,6.40,6.1,2.28,.94,2.50,2.50,30.1
 1993,39.3,.495,.352,.837,1.70,5.00,6.70,5.5,2.83,.78,2.65,2.40,32.6
 1995,39.3,.411,.500,.801,1.50,5.40,6.90,5.3,1.76,.76,2.06,2.80,26.9
 1996,37.7,.495,.427,.834,1.80,4.80,6.60,4.3,2.20,.51,2.40,2.40,30.4
 1997,37.9,.486,.374,.833,1.40,4.50,5.90,4.3,1.71,.54,2.02,1.90,29.6
 1998,38.8,.465,.238,.784,1.60,4.20,5.80,3.5,1.72,.55,2.26,1.80,28.7
 2002,34.9,.416,.189,.790,.80,4.80,5.70,5.2,1.42,.43,2.70,2.00,22.9
 2003,37.0,.445,.291,.821,.90,5.20,6.10,3.8,1.50,.48,2.11,2.10,20.0
 
